A,B,C,D
1.0,26.0,-32.87999999940396,300.34000001430513
2.0,1.0,-30.81000000655651,-24.800000001192092
3.0,3.0,-28.709999997615814,0.9899999997764826
4.0,20.0,-26.709999997615814,222.29000000238418
5.0,14.0,-24.96999999925494,144.36999998569488
6.0,13.0,-22.84999999821186,131.3400000143051
7.0,28.0,-20.960000001341104,326.16999999761583
8.0,20.0,-18.839999992847442,222.3400000143051
9.0,6.0,-17.02,40.08999999940395
10.0,0.0,-14.869999994039535,-37.760000009536746
11.0,5.0,-12.749999989271164,27.130000005960465
12.0,28.0,-10.98000000089407,326.0700000035763
13.0,11.0,-8.640000004768371,105.08000000149012
14.0,2.0,-6.980000000894069,-11.659999985694885
15.0,2.0,-4.879999999403953,-11.92999999642372
16.0,11.0,-2.819999997019768,105.10999999523163
17.0,24.0,-0.77,274.3200000035763
18.0,0.0,1.0099999993294477,-37.87999999940396
19.0,25.0,3.210000004172325,287.21000000417234
20.0,34.0,5.099999997317791,404.2199999946356
21.0,16.0,7.260000001192093,170.08999999940394
22.0,9.0,9.23,79.10999999523163
23.0,32.0,10.999999999552966,378.2900000023842
24.0,31.0,13.160000007152558,365.08000000149013
25.0,37.0,15.26999999165535,443.08000000149013
26.0,12.0,17.239999990463257,117.98
27.0,35.0,19.26999999165535,417.12000000059606
28.0,10.0,21.130000005960465,92.10999999523163
29.0,36.0,23.169999997615815,430.2600000011921
30.0,32.0,25.07000000357628,378.35999999523165
31.0,21.0,27.05999999821186,235.25000001072883
32.0,8.0,29.03000000074506,66.31000001311303
33.0,4.0,31.01999999910593,14.28000001192093
34.0,8.0,33.280000011920926,66.26999999165535
35.0,31.0,35.31000001311302,365.13999999642374
36.0,17.0,37.189999993443486,183.18000000298022
37.0,31.0,39.05000000029802,364.98
38.0,34.0,41.21999999463558,404.26999999165537
39.0,6.0,43.239999990463254,40.23
40.0,0.0,45.109999995231625,-37.67000000596047
41.0,7.0,47.21999999463558,53.08000000149011
42.0,5.0,48.99999999955296,27.369999985694886
43.0,15.0,51.13999999642372,157.03000000074505
44.0,31.0,52.98,365.2199999946356
45.0,18.0,55.35000000476837,196.1999999988079
46.0,36.0,57.239999990463254,430.35999999523165
47.0,21.0,59.320000003576276,234.99999999955295
48.0,28.0,60.98,325.98
49.0,9.0,63.09999999731779,79.2600000011921
50.0,25.0,65.0399999986589,286.98
51.0,18.0,67.25000001072884,196.12000000059604
52.0,28.0,69.19999999880791,326.0700000035763
53.0,35.0,71.21000000417233,417.0300000007451
54.0,18.0,73.05999999821186,196.1399999964237
55.0,3.0,75.2600000011921,1.219999994635582
56.0,2.0,77.32000000357628,-11.71999998807907
57.0,39.0,79.28000001192093,469.1300000059605
58.0,26.0,81.07000000357628,300.01999999910595
59.0,22.0,83.32999999403954,248.35999999523162
60.0,21.0,85.1899999934435,234.98
61.0,39.0,87.36999998569489,469.28000001192095
62.0,20.0,89.16000000715256,222.12000000059604
63.0,31.0,91.32000000357628,364.98
64.0,20.0,93.00999999932945,222.32000000357627
65.0,8.0,95.10999999523163,66.32999999403954
66.0,2.0,97.03000000074506,-11.77
67.0,7.0,99.18000000298024,53.08000000149011
68.0,38.0,101.19999999880791,456.2199999946356
69.0,6.0,103.32000000357628,40.03999999865889
70.0,38.0,105.16999999761582,456.3200000035763
71.0,37.0,106.99999999955297,443.13999999642374
72.0,10.0,109.19999999880791,92.01999999910593
73.0,30.0,111.08000000149012,352.05000000029804
74.0,26.0,113.36999998569489,299.98
75.0,14.0,115.35000000476838,144.16000000715255
76.0,0.0,117.01999999910593,-37.969999999254945
77.0,3.0,119.10999999523163,0.9999999995529651
78.0,18.0,121.05999999821186,195.99999999955295
79.0,16.0,123.13999999642373,170.21000000417231
80.0,2.0,125.26999999165535,-11.71999998807907
81.0,2.0,126.98,-11.780000005364418
82.0,27.0,129.03000000074505,313.34000001430513
83.0,20.0,131.10999999523162,222.12000000059604
84.0,19.0,133.08999999940394,209.13000000596045
85.0,10.0,134.99999999955295,91.98999999977649
86.0,14.0,137.23,144.28000001192092
87.0,25.0,139.07000000357627,287.0599999982119
88.0,18.0,141.03999999865889,196.25000001072883
89.0,20.0,143.28000001192092,222.36999998569488
90.0,31.0,145.35999999523162,364.9899999997765
91.0,5.0,147.35999999523162,26.999999999552966
92.0,3.0,149.310000013113,1.0500000002980232
93.0,9.0,151.0800000014901,79.12000000059605
94.0,28.0,153.29000000238418,326.21000000417234
95.0,22.0,155.09999999731778,248.29000000238418
96.0,3.0,157.23,1.0099999993294477
97.0,34.0,159.1699999976158,404.2199999946356
98.0,2.0,161.35999999523162,-11.81000000655651
99.0,31.0,163.18000000298022,365.16999999761583
100.0,38.0,165.1399999964237,456.1300000059605
